feature,importance
F3912,0.3741136
F2230,0.1106448
F1165,0.047317166
F1644,0.04210136
F3799,0.033888076
F2489,0.03035514
F3801,0.021304239
F2556,0.021145584
F3805,0.020867396
F1057,0.016158542
F1813,0.014179012
F30,0.014044126
F1819,0.013179477
F2075,0.011668298
F1125,0.01152454
F1489,0.010397601
F158,0.010377076
F404,0.009482725
F408,0.009269251
F502,0.008659515
F2472,0.008449071
F3642,0.008001996
F1058,0.0074592433
F3811,0.007095813
F1647,0.0068798526
F1825,0.00684967
F1757,0.006801708
F2794,0.0067414707
F1166,0.0061047357
F3484,0.0058131805
F1921,0.0054264236
F482,0.0052721114
F1063,0.0052063586
F2486,0.004577552
F991,0.0045378758
F3898,0.004301013
F410,0.0037063493
F3534,0.0036678454
F3107,0.0032851014
F1705,0.0024959727
F1711,0.002214692
F1814,0.0022027777
F3908,0.002052812
F162,0.0018963476
F2385,0.0018704908
F1935,0.0018462782
F1598,0.0018412546
F949,0.0015889428
F2137,0.0013209445
F2293,0.0012131279
F3055,0.0011425568
F1927,0.0011116784
F2074,0.001071535
F2686,0.0010485084
F1827,0.0010407277
F950,0.001007122
F267,0.0009799178
F270,0.000977752
F2188,0.00095118716
F1597,0.0009274477
F3706,0.00085775787
F2390,0.00082668016
F3643,0.00082361
F1922,0.0007646777
F2586,0.00075657037
F3748,0.0007396426
F2138,0.0007338802
F3535,0.0007250654
F326,0.000718365
F2651,0.0007068729
F1603,0.0006908292
F2645,0.00063929654
F2030,0.00063909125
F264,0.0006257397
F1246,0.0006234133
F2643,0.0006180957
F2073,0.0006134362
F3813,0.0005730877
F2185,0.00056817476
F2684,0.0005495715
F2029,0.00054922665
F3806,0.0005352813
F3712,0.00049475464
F2861,0.00043376102
F1381,0.00041882266
F2787,0.0004074613
F160,0.00040171362
F3604,0.00036894984
F3094,0.00035448468
F2388,0.00034421406
F172,0.0003237897
F3496,0.00031884847
F3490,0.00031780437
F3742,0.0003033176
F3499,0.0002889934
F435,0.00028752087
F2355,0.00027930897
F3493,0.00027695904
F1323,0.00027632143
F3751,0.00027218374
F3636,0.00026777523
F3002,0.00026599766
F1273,0.00026352893
F3812,0.00026184268
F3856,0.00025956097
F1537,0.00025593757
F999,0.00023841023
F2484,0.00023593065
F1968,0.00023481796
F1861,0.0002326358
F2565,0.00021793677
F3753,0.00021719426
F3640,0.0001983166
F2031,0.00019598845
F1864,0.00018994827
F1285,0.00018826497
F161,0.00017586688
F2068,0.00017486376
F3532,0.00017383856
F3106,0.0001680862
F3645,0.00015759507
F62,0.00014433917
F3853,0.00013806886
F2646,0.00013545567
F369,0.0001315844
F1431,0.0001257734
F1274,0.000118692515
F3841,0.00011686707
F1971,0.00010800383
F3834,0.000101518744
F159,9.308252e-05
F2449,9.152138e-05
F433,9.058912e-05
F1926,8.964935e-05
F3495,8.2590486e-05
F157,7.976462e-05
F1177,7.781991e-05
